Country Name,Adolescent Birth,Alumnos con Educacion Secundaria,Antenatal Care Coverage,BCG Immunization Coverage,Births Attended by Skilled Personal,Death Rate per Air Pollution,Densidad de Poblacion,Desempleo Total,Health Expenditure,Health Workers,Antiretroviral Coverage People with HIV,Household Air Pollution DALYs,Life Expectancy,Nursing Personal,PIB per capita,Poblacion Total,Population using Drinking Water Services,Population using Safely Drinking Water Services,Population using Safely Sanitation Services,Population using Sanitation Services,Population with Health Expenses over 25% of Income,Pregnant Women Living with HIV who Received Antiretrovirals,Prevalence of Underweight,Raised Blood Presure,Tratamiento Antirtroviral,Sida,Malaria Cases,TB Cases,HIV Cases
Angola,0.004871169836893643,32.79023471,163.89,60,0.001393689570315671,15388.6779788,27.6760840619235,10.209,2.91,0.00745174342838137,46,43.291019999999996,63.06,0.035274957390610755,1499765.7977059,35588987,57.72,61.93,12.78,52.18,12.48,0.07024645011671729,13.5,29.7,41,6.942,25.764338276894478,0.31470409652289344,1.5
Benin,0.008252911135768327,63.381758400295254,164.31,88,0.005848932483697879,10917.3016064,115.261573252927,1.654,2.59,0.04272794,81,68.80865999999999,63.43,0.02677328249580015,812897.373417418,13352864,67.36,56.72,2.7,19.49,2.95,0.04568308341940725,9.6,27.7,84,8.352,23.692654998957526,0.051674307474411485,0.8
Botswana,0.019214567485940744,66.47654864699638,172.49,98,0.037942497726491616,1474.5439376,4.5672948317541,20.684,6.19,0.02722127091399599,93,35.890499999999996,62.25,0.46762797799183053,95705.5677003653,2630296,92.57,72.94,7.94,80.55,1.01,0.4182038827569216,9.1,29.6,92,3.4869999999999997,0.02771551186634508,0.2319130622561111,16.4
Burkina Faso,0.0056651384097619086,32.31554604833552,190.99,98,0.0035194865324951366,14828.640348,80.7773501461988,5.175,6.72,0.013138534311156658,81,61.52945999999999,62.7,0.0830960473167179,519519.640450491,22673762,49.51,39.05,9.75,24.76,1.76,0.025580227930415783,11.8,32.6,84,8.261,54.97783296834464,0.043662802846744175,0.6
Burundi,0.004574238904367373,36.05308661820994,197.55,94,0.005935028429174086,8525.165566399999,488.754400311526,1.02,6.5,0.09189596306348634,85,58.13249999999999,63.84,0.0738193405275705,569173.959632186,12889576,62.44,41.14,23.72,45.69,0.88,0.03646357335571007,12.8,29.2,93,5.26,51.347631605570264,0.10085669226047467,0.9
Cabo Verde,0.068077329642299,101.96763376487189,185.9,98,0.16403972694887792,168.3356862,145.887096774194,13.57,6.02,0.019725229242568056,87,12.872052,74.03,0.11902574226712007,411843.276984366,593149,89.87,52.69,31.98,83.05,0.02,0.016859170292793213,7.8,29.5,98,1.355,0.003540425761486574,0.03540425761486574,0.9
Cameroon,0.004481177835089217,46.81120846,173.7,65,0.0024718304470473735,18306.352708799997,57.5376615684035,4.001,3.77,5.516838968772399E-4,88,57.465239999999994,62.36,0.018796658486460244,990829.013403626,27914536,69.59,90.86,19.33,43.12,1.78,0.08955907416838309,6.9,24.8,78,6.979000000000001,12.254504248252596,0.16120633350308958,2.6
Central African Republic,0.034492746557536424,21.90975371,161.72,61,0.007223330317339003,6544.3359120000005,8.7597579376545,6.363,9.4,0.0020612481054441325,49,99.64415999999999,53.1,0.021419056400049902,266381.630389895,5579144,36.3,19.62,13.35,13.85,1.22,0.1415987828957274,14.8,31.2,67,9.992,39.85489530293536,0.519793000503303,3.4
Chad,0.008044770405536436,29.2098289738686,150.34,67,0.0026631586698086674,15701.084758500001,13.643376747141,1.412,5.41,0.04557273850856908,77,97.15709999999999,59.63,0.019172485508495447,447113.686451998,17723315,52,26.49,10.91,12.92,1.4,0.04739519666608646,13.3,32.9,75,10.709999999999999,10.223025432883183,0.13541484761738987,1
Comoros,0.047444112747288984,56.21378946,182.42000000000002,90,0.09823440976894598,566.9143849999999,441.496507254164,8.811,5.35,0.0083476436,85,57.930299999999995,67.39,0.1474711212346464,693718.389075186,836774,80.21,53.73,9.12,35.91,1.64,4.7802632490971284E-4,10.2,27.9,61,4.9719999999999995,1.2604359122056852,0.03465690855595418,0.1
