Country Name;Adolescent Birth;Alumnos con Educacion Secundaria;Antenatal Care Coverage;Antiretroviral Coverage Children;Antiretroviral Coverage People with HIV;BCG Immunization Coverage;Births Attended by Skilled Personal;Death Rate per Air Pollution;Densidad de Poblacion;Desempleo Total;Health Expenditure;Health Workers;Household Air Pollution DALYs;Incidence of Tuberculosis;Incidencia Tuberculosis;Infant Mortality;Infectados VIH;Life Expectancy;Malaria cases;Nursing Personal;PIB per capita;Poblacion Total;Population using Drinking Water Services;Population using Safely Drinking Water Services;Population using Safely Sanitation Services;Population using Sanitation Services;Population with Health Expenses over 25% of Income;Pregnant Women Living with HIV who Received Antiretrovirals;Prevalence of Underweight;Raised Blood Presure;Tratamiento Antirtroviral;Tratamiento Tuberculosis;Tuberculosis Treatment Coverage
Angola;0,00487117;32,79023471;163,89;22;46;60;0,00139369;15388,67798;27,67608406;10,209;2,91;0,007451743;43,29102;325;325;6,942;0,005678723;63,06;24,71012732;0,035274957;1499765,798;35588987;57,72;61,93;12,78;52,18;12,48;0,07024645;13,5;29,7;41;0,887735849;55
Benin;0,008252911;63,3817584;164,31;32;81;88;0,005848932;10917,30161;115,2615733;1,654;2,59;0,04272794;68,80866;53;53;8,352;0,01513533;63,43;37,3228395;0,026773282;812897,3734;13352864;67,36;56,72;2,7;19,49;2,95;0,045683083;9,6;27,7;84;0,6;54
Botswana;0,019214567;66,47654865;172,49;58;93;98;0,037942498;1474,543938;4,567294832;20,684;6,19;0,027221271;35,8905;235;235;3,487;0,076835459;62,25;0,040565777;0,467627978;95705,5677;2630296;92,57;72,94;7,94;80,55;1,01;0,418203883;9,1;29,6;92;0,5;39
Burkina Faso;0,005665138;32,31554605;190,99;25;81;98;0,003519487;14828,64035;80,77735015;5,175;6,72;0,013138534;61,52946;45;45;8,261;0,008913386;62,7;36,72489373;0,083096047;519519,6405;22673762;49,51;39,05;9,75;24,76;1,76;0,025580228;11,8;32,6;84;0,841463415;69
Burundi;0,004574239;36,05308662;197,55;37;85;94;0,005935028;8525,165566;488,7544003;1,02;6,5;0,091895963;58,1325;100;100;5,26;0,015679337;63,84;28,37940519;0,073819341;569173,9596;12889576;62,44;41,14;23,72;45,69;0,88;0,036463573;12,8;29,2;93;0,568421053;54
Cabo Verde;0,06807733;101,9676338;185,9;86;87;98;0,164039727;168,3356862;145,8870968;13,57;6,02;0,019725229;12,872052;35;35;1,355;0,340723832;74,03;17,45785466;0,119025742;411843,277;593149;89,87;52,69;31,98;83,05;0,02;0,01685917;7,8;29,5;98;0,828021978;89
Cameroon;0,004481178;46,81120846;173,7;39;88;65;0,00247183;18306,35271;57,53766157;4,001;3,77;0,000551684;57,46524;164;164;6,979;0,007239956;62,36;23,87987749;0,018796658;990829,0134;27914536;69,59;90,86;19,33;43,12;1,78;0,089559074;6,9;24,8;78;0,581395349;50
Central African Republic;0,034492747;21,90975371;161,72;36;49;61;0,00722333;6544,335912;8,759757938;6,363;9,4;0,002061248;99,64416;540;540;9,992;0,036224195;53,1;32,7389112;0,021419056;266381,6304;5579144;36,3;19,62;13,35;13,85;1,22;0,141598783;14,8;31,2;67;0,569620253;45
Chad;0,00804477;29,20982897;150,34;32;77;67;0,002663159;15701,08476;13,64337675;1,412;5,41;0,045572739;97,1571;140;140;10,71;0,011403059;59,63;19,78426722;0,019172486;447113,6865;17723315;52;26,49;10,91;12,92;1,4;0,047395197;13,3;32,9;75;0,703703704;57
Comoros;0,047444113;56,21378946;182,42;61;85;90;0,09823441;566,914385;441,4965073;8,811;5,35;0,008347644;57,9303;35;35;4,972;0,241522801;67,39;1,259240846;0,147471121;693718,3891;836774;80,21;53,73;9,12;35,91;1,64;0,000478026;10,2;27,9;61;0,510869565;47
Congo;0,012468126;60,07567778;178,52;13;24;67;0,015275297;3095,664844;17,08874378;21,795;4,47;0,024894794;38,70108;370;370;4,297;0,033850192;64,74;21,43980059;0,085102834;1526956,879;5970424;73,97;123,77;16,34;20,55;0,66;0,125619219;13,1;26,2;23;0,733333333;55
Congo, Democratic Republic of the;0,001134933;27,75900952;201,56;44;82;77;0,000860517;82119,06983;42,29907501;4,987;4,05;0,039843975;72,30672;318;318;7,896;0,002041204;62,35;30,82363363;0,094258964;1263713,25;99010212;35,12;36,24;13,04;16,17;0,61;0,028279911;15,9;28,5;82;0,744680851;70
Côte d'Ivoire;0,004394447;43,16933957;162,98;44;72;92;0,002982897;17749,58962;86,40958805;2,637;3,72;0,051689346;58,11228;128;128;7,479;0,007176708;62,92;26,4311177;0,059871007;1550923,726;28160542;72,85;130;17,25;36,96;0,56;0,056817088;8;27,2;76;0,702380952;59
Djibouti;0,018807172;48,90667699;178,9;37;52;61;0,077976605;1005,737808;47,69443486;27,929;2,01;0,009477343;60,09384;204;204;5,414;0,180309747;65,81;5,214350907;0,058437845;557353,1314;1120849;76,17;101,82;39,6;66,91;0,26;0,004104032;8,1;26,8;31;0,791176471;80
Equatorial Guinea;0,105080398;19,84930374;178,65;27;42;85;0,040778359;938,1159708;58,26973262;8,689;3,77;0,01838907;54,73554;275;275;7,678;0,120663344;62,19;20,80281424;0,024240137;4399668,519;1674908;64,67;87,1;28,56;66,31;1,34;0,179114316;13,5;28,4;41;0,567567568;42
Eritrea;0,020914585;72,24801522;164,47;43;72;97;0,009256163;3967,702464;29,90984141;6,618;4,09;0,162865035;65,24994;74;74;3,809;0,054858373;64,08;2,521639334;0,134933681;519648,4436;3684032;51,85;69,05;17,46;11,94;0,98;0,005428834;17,3;29,1;71;0,659340659;60
Eswatini;0,073456107;77,44638711;149,57;89;95;97;0,073481072;823,504451;69,3180814;24,389;6,51;0,448209575;49,0335;348;348;5,263;0,168182613;57,73;0,025464562;0,242745512;66095,73752;1201670;73,47;77,53;30,4;64,42;1,29;0,782244709;7,3;29,8;91;0,580246914;47
Ethiopia;0,00059953;50,49380003;146,5;40;83;68;0,000403631;69376,53127;106,5799119;4,018;3,48;0,034551812;39,65142;119;119;4,681;0,00163803;68,7;3,066865238;0,073090497;49907,13076;123379924;51,51;57,63;7,22;9,34;0,57;0,013778579;15,8;30,3;78;0,848837209;73
Gabon;0,050322479;51,48849348;189,77;24;59;82;0,037379782;361,6933888;9,085958784;21,469;3,43;0,004604452;9,855228;513;513;3,975;0,084596349;66,47;22,43368751;0,257137738;5501777,218;2388992;86,93;41,39;28,21;49,9;0,72;0,092089048;8,9;25,5;54;0,666666667;42
Gambia;0,024334883;47,9920118;194,69;25;37;83;0,03096831;1685,291818;260,8612648;4,78;2,61;0,07686645;45,65676;149;149;4,789;0,074686104;65,47;7,882913179;0,084479185;44678,92913;2705992;85,65;127,62;27,99;47,72;0,03;0,044346029;10;29,1;33;0,655172414;57
Ghana;0,00235035;68,56251981;194,48;44;63;96;0,002356922;20778,47251;144,3000839;3,867;3,99;0,04725792;42,48222;136;136;4,397;0,006037184;66,28;16,1210209;0,336030102;18379,0523;33475870;88,37;125,87;15,83;28,58;0,11;0,050782847;8,7;23,7;71;0,348837209;30
Guinea;0,008944148;47,65313156;164,1;31;64;73;0,003990089;12296,00734;55,07042976;5,749;4,04;0,119536708;79,42416;175;175;9,873;0,014582223;61,01;32,30808016;0,051914445;13316375,18;13859341;71,45;98,75;17,73;31,27;0,03;0,041849032;10,8;30,3;52;0,868131868;79
Guinea-Bissau;0,04087737;34,75737353;158,94;50;64;80;0,025551324;1561,908859;73,28310811;3,583;8,41;0,074667651;57,60678;361;361;7,431;0,095983693;60,22;10,28426561;0,103012682;483930,8436;2105566;61,78;73,85;15,44;27,84;0,37;0,066490435;9,6;30,3;45;0,44;33
Kenya;0,001387997;42,75920483;191,01;85;94;97;0,001299339;22896,84899;93,13282145;5,502;4,29;0,16008518;34,21224;251;251;3,715;0,003740689;66,09;6,329552215;0,110871342;247435,9024;54027487;62,86;72,98;31,5;36,53;1,4;0,098098214;11,8;26,7;78;0,670588235;57
